Time        | File Name                                                              
-------------------------------------------------------------------------------------
3608m39.52s | Total                                                                  
-------------------------------------------------------------------------------------
22m37.64s   | Specific/solinas32_2e511m187_22limbs/femul                             
21m23.72s   | Specific/solinas32_2e416m2e208m1_18limbs/femul                         
20m24.25s   | Specific/solinas32_2e512m569_25limbs/fesquare                          
19m12.60s   | Specific/solinas32_2e448m2e224m1_18limbs/femul                         
18m59.84s   | Specific/solinas32_2e480m2e240m1_20limbs/fesquare                      
18m56.42s   | Specific/solinas32_2e480m2e240m1_18limbs/femul                         
17m59.70s   | Specific/solinas32_2e512m569_24limbs/fesquare                          
17m19.83s   | Specific/solinas32_2e511m481_24limbs/fesquare                          
16m47.10s   | Specific/solinas32_2e495m31_21limbs/femul                              
16m45.80s   | Specific/montgomery32_2e166m5_6limbs/femul                             
15m23.43s   | Specific/solinas32_2e511m187_23limbs/fesquare                          
15m11.88s   | Specific/solinas32_2e416m2e208m1_18limbs/fesquare                      
15m03.10s   | Specific/solinas32_2e511m481_23limbs/fesquare                          
14m22.40s   | Specific/solinas32_2e521m1_20limbs/femul                               
13m58.69s   | Specific/solinas32_2e448m2e224m1_18limbs/fesquare                      
13m54.05s   | Specific/solinas32_2e488m17_20limbs/femul                              
13m40.77s   | Specific/solinas32_2e489m21_20limbs/femul                              
13m40.73s   | Specific/solinas32_2e495m31_20limbs/femul                              
13m33.15s   | Specific/montgomery32_2e521m1_17limbs/Synthesis                        
13m32.98s   | Specific/solinas32_2e511m187_22limbs/fesquare                          
13m26.06s   | Specific/solinas32_2e480m2e240m1_20limbs/femul                         
13m19.57s   | Specific/montgomery64_2e321m9_6limbs/femul                             
13m11.28s   | Specific/montgomery32_2e174m3_6limbs/femul                             
13m02.58s   | Specific/solinas32_2e448m2e224m1_16limbs/femul                         
12m54.57s   | Specific/solinas32_2e416m2e208m1_16limbs/femul                         
12m53.48s   | Specific/solinas32_2e480m2e240m1_18limbs/fesquare                      
12m35.83s   | Specific/solinas32_2e450m2e225m1_18limbs/fesquare                      
11m44.22s   | Specific/solinas32_2e521m1_19limbs/femul                               
11m24.11s   | Specific/solinas32_2e489m21_19limbs/femul                              
11m21.16s   | Specific/solinas32_2e468m17_19limbs/femul                              
11m20.05s   | Specific/solinas32_2e488m17_19limbs/femul                              
11m03.89s   | Specific/solinas32_2e444m17_18limbs/femul                              
10m37.15s   | Specific/montgomery32_2e489m21_16limbs/Synthesis                       
10m36.41s   | Specific/montgomery32_2e511m481_16limbs/Synthesis                      
10m36.20s   | Specific/montgomery64_2e322m2e161m1_6limbs/femul                       
10m33.97s   | Specific/montgomery32_2e511m187_16limbs/Synthesis                      
10m31.48s   | Specific/montgomery32_2e512m569_16limbs/Synthesis                      
10m30.99s   | Specific/montgomery32_2e192m2e64m1_6limbs/femul                        
10m28.78s   | Specific/solinas32_2e512m569_25limbs/fesub                             
10m28.73s   | Specific/montgomery32_2e495m31_16limbs/Synthesis                       
10m28.24s   | Specific/solinas32_2e384m317_18limbs/femul                             
10m26.62s   | Specific/montgomery32_2e488m17_16limbs/Synthesis                       
10m25.86s   | Specific/montgomery32_2e165m25_6limbs/femul                            
10m25.70s   | Specific/montgomery64_2e383m187_6limbs/femul                           
