Time        | File Name                                               
----------------------------------------------------------------------
2958m46.99s | Total                                                   
----------------------------------------------------------------------
356m22.38s  | Specific/montgomery32_2e256m189/fesub                   
356m19.72s  | Specific/montgomery32_2e256m189/feopp                   
337m01.61s  | Specific/montgomery64_2e512m569/feopp                   
317m47.32s  | Specific/montgomery64_2e512m569/fesub                   
301m13.86s  | Specific/montgomery32_2e256m2e224p2e192p2e96m1/feopp    
285m09.32s  | Specific/montgomery32_2e256m2e224p2e192p2e96m1/fesub    
127m15.53s  | Specific/solinas32_2e413m21/Synthesis                   
110m49.57s  | Specific/montgomery64_2e448m2e224m1/fesub               
109m49.65s  | Specific/montgomery32_2e224m2e96p1/fesub                
67m19.38s   | Specific/montgomery64_2e448m2e224m1/feopp               
65m45.90s   | Specific/montgomery32_2e224m2e96p1/feopp                
27m50.71s   | Specific/montgomery64_2e512m569/femul                   
27m30.73s   | Specific/montgomery32_2e256m2e224p2e192p2e96m1/femul    
23m02.16s   | Specific/montgomery32_2e256m189/femul                   
18m22.88s   | Specific/montgomery32_2e224m2e96p1/femul                
17m49.64s   | Specific/solinas32_2e512m569/Synthesis                  
14m08.12s   | Specific/solinas32_2e511m481/Synthesis                  
14m07.08s   | Specific/solinas32_2e511m187/Synthesis                  
12m51.26s   | Specific/montgomery64_2e448m2e224m1/femul               
11m50.98s   | Specific/solinas32_2e489m21/Synthesis                   
11m49.07s   | Specific/montgomery32_2e512m569/Synthesis               
10m25.77s   | Specific/montgomery64_2e384m2e128m2e96p2e32m1/femul     
9m13.94s    | Specific/montgomery32_2e192m2e64m1/femul                
9m03.04s    | Specific/montgomery64_2e384m2e128m2e96p2e32m1/fesub     
8m57.85s    | Specific/montgomery64_2e384m317/fesub                   
8m42.58s    | Specific/montgomery32_2e192m2e64m1/fesub                
8m39.48s    | Specific/montgomery32_2e480m2e240m1/Synthesis           
8m26.14s    | Specific/montgomery64_2e384m317/femul                   
8m21.88s    | Specific/solinas32_2e488m17/Synthesis                   
7m54.20s    | Specific/solinas32_2e468m17/Synthesis                   
6m36.66s    | Specific/solinas32_2e495m31/Synthesis                   
6m22.88s    | Specific/montgomery32_2e448m2e224m1/Synthesis           
5m50.97s    | Specific/montgomery64_2e384m2e128m2e96p2e32m1/feopp     
5m49.85s    | Specific/montgomery64_2e384m317/feopp                   
5m38.26s    | Specific/montgomery32_2e192m2e64m1/feopp                
5m18.95s    | Specific/solinas32_2e521m1/Synthesis                    
4m32.40s    | Specific/montgomery32_2e416m2e208m1/Synthesis           
4m17.18s    | Specific/solinas32_2e444m17/Synthesis                   
3m34.77s    | Specific/X25519/C64/ladderstep                          
3m34.62s    | Specific/solinas32_2e382m105/Synthesis                  
3m33.87s    | Specific/solinas64_2e489m21/Synthesis                   
3m27.40s    | Specific/montgomery32_2e384m2e128m2e96p2e32m1/Synthesis 
3m16.06s    | Specific/montgomery32_2e384m317/Synthesis               
3m09.13s    | Specific/solinas32_2e452m3/Synthesis                    
2m49.87s    | Specific/solinas32_2e414m17/Synthesis                   
2m41.44s    | Specific/solinas64_2e512m569/Synthesis                  
2m35.33s    | Specific/solinas32_2e379m19/Synthesis                   
2m34.53s    | Specific/solinas32_2e384m317/Synthesis                  
2m32.68s    | Specific/solinas64_2e488m17/Synthesis                   
2m17.40s    | Specific/montgomery64_2e256m2e224p2e192p2e96m1/femul    
2m17.17s    | Specific/montgomery64_2e256m2e32m977/femul              
2m17.13s    | Specific/montgomery64_2e256m189/femul                   
2m14.54s    | Specific/NISTP256/AMD64/femul                           
2m00.84s    | Specific/montgomery64_2e512m569/Synthesis               
1m57.04s    | Specific/solinas32_2e401m31/Synthesis                   
1m52.64s    | Specific/solinas64_2e511m481/Synthesis                  
1m52.63s    | Specific/solinas32_2e384m2e128m2e96p2e32m1/Synthesis    
1m50.28s    | Specific/solinas64_2e511m187/Synthesis                  
1m45.75s    | Specific/solinas32_2e369m25/Synthesis                   
1m44.35s    | Specific/X2448/Karatsuba/C64/femul                      
1m32.04s    | Specific/X25519/C32/femul                               
1m30.05s    | Specific/solinas32_2e480m2e240m1/Synthesis              
1m27.78s    | Specific/solinas32_2e448m2e224m1/Synthesis              
1m27.46s    | Specific/solinas32_2e321m9/Synthesis                    
1m26.77s    | Specific/solinas32_2e450m2e225m1/Synthesis              
1m22.23s    | Specific/solinas32_2e416m2e208m1/Synthesis              
1m22.04s    | Specific/solinas64_2e413m21/Synthesis                   
1m10.42s    | Specific/montgomery64_2e448m2e224m1/Synthesis           
1m07.54s    | Specific/solinas64_2e256m2e32m977/femul                 
1m05.96s    | Specific/solinas32_2e338m15/Synthesis                   
1m04.65s    | Specific/solinas32_2e336m3/Synthesis                    
1m04.34s    | Specific/solinas32_2e336m17/Synthesis                   
1m03.66s    | Specific/montgomery64_2e512m569/feadd                   
1m03.16s    | Specific/montgomery64_2e192m2e64m1/femul                
1m02.93s    | Specific/solinas32_2e285m9/Synthesis                    
1m02.38s    | Specific/solinas64_2e401m31/femul                       
1m00.85s    | Specific/solinas64_2e321m9/femul                        
0m59.28s    | Specific/solinas64_2e338m15/femul                       
0m59.21s    | Specific/solinas64_2e369m25/femul                       
0m59.02s    | Specific/solinas32_2e256m2e32m977/Synthesis             
0m58.99s    | Specific/solinas32_2e255m765/Synthesis                  
0m58.19s    | Specific/X25519/C32/fesquare                            
0m58.12s    | Specific/solinas64_2e256m189/femul                      
0m57.31s    | Specific/solinas64_2e384m317/femul                      
0m56.48s    | Specific/solinas32_2e137m13/femul                       
0m56.45s    | Specific/solinas32_2e196m15/femul                       
0m56.03s    | Specific/solinas32_2e130m5/femul                        
0m55.57s    | Specific/solinas64_2e256m2e32m977/fesquare              
0m55.37s    | Specific/solinas32_2e152m17/femul                       
0m52.21s    | Specific/montgomery32_2e256m2e224p2e192p2e96m1/feadd    
0m51.58s    | Specific/montgomery32_2e256m189/feadd                   
0m50.99s    | Specific/solinas32_2e213m3/Synthesis                    
0m49.48s    | Specific/solinas64_2e369m25/fesquare                    
0m49.47s    | Specific/solinas64_2e321m9/fesquare                     
0m49.41s    | Specific/montgomery64_2e448m2e224m1/feadd               
0m48.47s    | Specific/solinas64_2e338m15/fesquare                    
0m48.06s    | Specific/solinas64_2e401m31/fesquare                    
0m47.75s    | Specific/solinas64_2e384m317/fesquare                   
0m47.17s    | Specific/solinas64_2e256m189/fesquare                   
0m46.67s    | Specific/solinas32_2e130m5/fesquare                     
0m46.29s    | Specific/solinas64_2e521m1/Synthesis                    
0m46.25s    | Specific/solinas32_2e322m2e161m1/Synthesis              
0m46.20s    | Specific/solinas32_2e196m15/fesquare                    
0m46.08s    | Specific/solinas32_2e152m17/fesquare                    
0m45.93s    | Specific/solinas32_2e137m13/fesquare                    
0m43.90s    | Specific/solinas64_2e336m3/femul                        
0m43.17s    | Specific/solinas32_2e141m9/femul                        
0m43.15s    | Specific/solinas64_2e336m17/femul                       
0m42.75s    | Specific/solinas32_2e140m27/femul                       
0m42.26s    | Specific/solinas64_2e495m31/Synthesis                   
0m42.17s    | Specific/X25519/C32/freeze                              
0m39.37s    | Specific/montgomery64_2e384m2e128m2e96p2e32m1/Synthesis 
0m39.24s    | Specific/montgomery32_2e224m2e96p1/feadd                
0m38.22s    | Specific/montgomery64_2e384m317/Synthesis               
0m38.06s    | Specific/solinas64_2e452m3/Synthesis                    
0m37.88s    | Specific/montgomery64_2e384m2e128m2e96p2e32m1/feadd     
0m36.94s    | Specific/montgomery32_2e256m2e224p2e192p2e96m1/Synthesis
0m36.81s    | Specific/solinas64_2e336m17/fesquare                    
0m36.76s    | Specific/montgomery64_2e384m317/feadd                   
0m36.74s    | Specific/solinas32_2e291m19/Synthesis                   
0m36.74s    | Specific/solinas32_2e141m9/fesquare                     
0m36.31s    | Specific/montgomery32_2e256m189/Synthesis               
0m36.11s    | Specific/montgomery32_2e256m2e32m977/Synthesis          
0m35.98s    | Specific/solinas32_2e140m27/fesquare                    
0m35.86s    | Specific/solinas64_2e416m2e208m1/freeze                 
0m35.84s    | Specific/solinas64_2e336m3/fesquare                     
0m35.64s    | Specific/solinas64_2e448m2e224m1/freeze                 
0m34.85s    | Specific/solinas64_2e384m317/freeze                     
0m34.84s    | Specific/solinas64_2e401m31/freeze                      
0m34.73s    | Specific/solinas64_2e285m9/femul                        
0m34.70s    | Specific/solinas64_2e321m9/freeze                       
0m34.62s    | Specific/solinas64_2e369m25/freeze                      
0m34.61s    | Specific/solinas64_2e255m765/femul                      
0m34.51s    | Specific/solinas64_2e243m9/femul                        
0m34.39s    | Specific/solinas64_2e256m189/freeze                     
0m34.31s    | Specific/solinas32_2e256m2e224p2e192p2e96m1/Synthesis   
0m34.22s    | Specific/solinas32_2e192m2e64m1/freeze                  
0m34.21s    | Specific/solinas64_2e256m2e32m977/freeze                
0m34.06s    | Specific/solinas64_2e255m19/femul                       
0m34.04s    | Specific/solinas64_2e266m3/femul                        
0m34.03s    | Specific/NISTP256/AMD128/femul                          
0m33.97s    | Specific/solinas64_2e291m19/femul                       
0m33.83s    | Specific/solinas32_2e266m3/Synthesis                    
0m33.72s    | Specific/solinas64_2e222m117/femul                      
0m33.65s    | Specific/montgomery64_2e512m569/fenz                    
0m33.52s    | Specific/solinas64_2e194m33/femul                       
0m33.49s    | Specific/solinas64_2e384m2e128m2e96p2e32m1/freeze       
0m33.46s    | Specific/solinas64_2e198m17/femul                       
0m33.39s    | Specific/solinas64_2e213m3/femul                        
0m33.36s    | Specific/solinas64_2e189m25/femul                       
0m33.32s    | Specific/solinas64_2e212m29/femul                       
0m33.29s    | Specific/solinas64_2e338m15/freeze                      
0m33.20s    | Specific/solinas32_2e196m15/freeze                      
0m33.06s    | Specific/solinas32_2e129m25/femul                       
0m32.90s    | Specific/solinas32_2e152m17/freeze                      
0m32.89s    | Specific/solinas32_2e127m1/femul                        
0m32.72s    | Specific/solinas64_2e255m2e4m2e1m1/femul                
0m32.66s    | Specific/solinas32_2e216m2e108m1/freeze                 
0m32.66s    | Specific/solinas32_2e224m2e96p1/freeze                  
0m32.65s    | Specific/solinas32_2e130m5/freeze                       
0m32.26s    | Specific/solinas32_2e137m13/freeze                      
0m32.13s    | Specific/solinas32_2e255m19/Synthesis                   
0m32.10s    | Specific/solinas32_2e150m3/femul                        
0m31.90s    | Specific/solinas32_2e256m189/Synthesis                  
0m31.54s    | Specific/montgomery32_2e192m2e64m1/feadd                
0m31.03s    | Specific/solinas64_2e382m105/Synthesis                  
0m31.00s    | Specific/solinas64_2e416m2e208m1/femul                  
0m30.85s    | Specific/solinas64_2e448m2e224m1/femul                  
0m30.09s    | Specific/solinas64_2e468m17/Synthesis                   
0m29.91s    | Specific/solinas64_2e255m19/fesquare                    
0m29.54s    | Specific/solinas64_2e243m9/fesquare                     
0m29.53s    | Specific/solinas64_2e255m2e4m2e1m1/fesquare             
0m29.42s    | Specific/solinas64_2e212m29/fesquare                    
0m29.40s    | Specific/solinas64_2e213m3/fesquare                     
0m29.36s    | Specific/solinas64_2e194m33/fesquare                    
0m29.23s    | Specific/solinas64_2e255m765/fesquare                   
0m28.98s    | Specific/solinas32_2e129m25/fesquare                    
0m28.90s    | Specific/solinas64_2e266m3/fesquare                     
0m28.74s    | Specific/solinas64_2e336m17/freeze                      
0m28.70s    | Specific/solinas64_2e336m3/freeze                       
0m28.69s    | Specific/solinas64_2e291m19/fesquare                    
0m28.67s    | Specific/solinas64_2e189m25/fesquare                    
0m28.66s    | Specific/solinas64_2e322m2e161m1/freeze                 
0m28.66s    | Specific/solinas64_2e222m117/fesquare                   
0m28.58s    | Specific/solinas64_2e198m17/fesquare                    
0m28.46s    | Specific/montgomery64_2e448m2e224m1/fenz                
0m28.42s    | Specific/solinas32_2e127m1/fesquare                     
0m28.39s    | Specific/solinas64_2e285m9/fesquare                     
0m28.34s    | Specific/solinas64_2e444m17/Synthesis                   
0m28.27s    | Specific/solinas32_2e150m3/fesquare                     
0m28.20s    | Specific/solinas32_2e140m27/freeze                      
0m28.13s    | Specific/solinas64_2e448m2e224m1/fesquare               
0m28.10s    | Specific/solinas32_2e216m2e108m1/femul                  
0m28.01s    | Specific/solinas64_2e226m5/femul                        
0m27.75s    | Specific/solinas64_2e191m19/femul                       
0m27.39s    | Specific/solinas32_2e141m9/freeze                       
0m27.34s    | Specific/solinas64_2e196m15/femul                       
0m27.23s    | Specific/solinas64_2e416m2e208m1/fesquare               
0m27.21s    | Specific/solinas32_2e206m5/Synthesis                    
0m27.19s    | Specific/solinas64_2e221m3/femul                        
0m27.10s    | Specific/solinas64_2e190m11/femul                       
0m26.92s    | Specific/solinas32_2e216m2e108m1/fesquare               
0m26.71s    | Specific/solinas64_2e171m19/femul                       
0m26.63s    | Specific/solinas64_2e206m5/femul                        
0m26.62s    | Specific/solinas64_2e235m15/femul                       
0m26.48s    | Specific/solinas64_2e414m17/Synthesis                   
0m26.35s    | Specific/solinas64_2e230m27/femul                       
0m26.32s    | Specific/solinas32_2e194m33/Synthesis                   
0m26.31s    | Specific/X25519/C32/Synthesis                           
0m25.67s    | Specific/montgomery64_2e256m2e224p2e192p2e96m1/fesub    
0m25.38s    | Specific/montgomery64_2e256m2e32m977/fesub              
0m25.32s    | Specific/solinas64_2e266m3/freeze                       
0m25.28s    | Specific/NISTP256/AMD64/fesub                           
0m25.26s    | Specific/X25519/C64/femul                               
0m25.23s    | Specific/solinas64_2e291m19/freeze                      
0m25.19s    | Specific/montgomery64_2e256m189/fesub                   
0m25.16s    | Specific/solinas64_2e222m117/freeze                     
0m24.95s    | Specific/solinas32_2e243m9/Synthesis                    
0m24.94s    | Specific/solinas64_2e212m29/freeze                      
0m24.92s    | Specific/solinas64_2e255m765/freeze                     
0m24.88s    | Specific/solinas64_2e198m17/freeze                      
0m24.81s    | Specific/solinas64_2e194m33/freeze                      
0m24.77s    | Specific/solinas64_2e243m9/freeze                       
0m24.72s    | Specific/solinas64_2e213m3/freeze                       
0m24.66s    | Specific/solinas64_2e189m25/freeze                      
0m24.55s    | Specific/solinas64_2e224m2e96p1/freeze                  
0m24.50s    | Specific/solinas64_2e196m15/fesquare                    
0m24.50s    | Specific/solinas64_2e285m9/freeze                       
0m24.41s    | Specific/solinas64_2e206m5/fesquare                     
0m24.38s    | Specific/solinas32_2e150m3/freeze                       
0m24.28s    | Specific/solinas64_2e379m19/Synthesis                   
0m24.08s    | Specific/solinas64_2e221m3/fesquare                     
0m24.01s    | Specific/solinas64_2e226m5/fesquare                     
0m24.00s    | Specific/solinas64_2e255m19/freeze                      
0m23.99s    | Specific/solinas64_2e171m19/fesquare                    
0m23.86s    | Specific/solinas32_2e129m25/freeze                      
0m23.84s    | Specific/solinas64_2e480m2e240m1/Synthesis              
0m23.84s    | Specific/solinas32_2e127m1/freeze                       
0m23.80s    | Specific/solinas64_2e230m27/fesquare                    
0m23.72s    | Specific/solinas64_2e191m19/fesquare                    
0m23.63s    | Specific/montgomery64_2e256m2e32m977/feadd              
0m23.58s    | Specific/montgomery64_2e384m2e128m2e96p2e32m1/fenz      
0m23.51s    | Specific/solinas64_2e384m2e128m2e96p2e32m1/femul        
0m23.39s    | Specific/montgomery64_2e256m2e224p2e192p2e96m1/feadd    
0m23.38s    | Specific/solinas64_2e190m11/fesquare                    
0m23.23s    | Specific/montgomery64_2e256m189/feadd                   
0m23.18s    | Specific/solinas64_2e235m15/fesquare                    
0m23.10s    | Specific/solinas32_2e158m15/Synthesis                   
0m23.02s    | Specific/NISTP256/AMD64/feadd                           
0m22.55s    | Specific/solinas64_2e192m2e64m1/femul                   
0m22.45s    | Specific/solinas64_2e450m2e225m1/Synthesis              
0m22.34s    | Specific/montgomery32_2e256m2e224p2e192p2e96m1/fenz     
0m22.33s    | Specific/montgomery64_2e384m317/fenz                    
0m22.24s    | Specific/solinas64_2e322m2e161m1/femul                  
0m21.88s    | Specific/montgomery32_2e256m189/fenz                    
0m21.66s    | Specific/montgomery32_2e224m2e96p1/Synthesis            
0m21.62s    | Specific/solinas64_2e255m2e4m2e1m1/freeze               
0m21.58s    | Specific/solinas64_2e206m5/freeze                       
0m21.51s    | Specific/solinas64_2e230m27/freeze                      
0m21.50s    | Specific/solinas64_2e256m2e224p2e192p2e96m1/freeze      
0m21.38s    | Specific/solinas64_2e141m9/femul                        
0m21.37s    | Specific/solinas64_2e221m3/freeze                       
0m21.37s    | Specific/solinas64_2e171m19/freeze                      
0m21.37s    | Specific/solinas64_2e191m19/freeze                      
0m21.35s    | Specific/solinas64_2e235m15/freeze                      
0m21.32s    | Specific/solinas64_2e196m15/freeze                      
0m21.27s    | Specific/solinas64_2e205m45x2e198m1/freeze              
0m21.26s    | Specific/solinas64_2e166m5/femul                        
0m21.24s    | Specific/solinas64_2e216m2e108m1/freeze                 
0m21.23s    | Specific/solinas64_2e165m25/femul                       
0m21.14s    | Specific/solinas64_2e174m3/femul                        
0m21.12s    | Specific/X25519/C64/freeze                              
0m21.12s    | Specific/X25519/C64/fesquare                            
0m21.03s    | Specific/solinas64_2e190m11/freeze                      
0m20.97s    | Specific/solinas64_2e129m25/femul                       
0m20.97s    | Specific/solinas64_2e150m5/femul                        
0m20.78s    | Specific/solinas64_2e174m17/femul                       
0m20.76s    | Specific/solinas64_2e137m13/femul                       
0m20.72s    | Specific/solinas64_2e150m3/femul                        
0m20.63s    | Specific/solinas64_2e226m5/freeze                       
0m20.44s    | Specific/solinas64_2e130m5/femul                        
0m20.44s    | Specific/solinas64_2e158m15/femul                       
0m20.30s    | Specific/solinas32_2e251m9/Synthesis                    
0m20.22s    | Specific/solinas64_2e140m27/femul                       
0m20.21s    | Specific/solinas64_2e152m17/femul                       
0m20.14s    | Specific/solinas64_2e384m2e128m2e96p2e32m1/fesquare     
0m20.06s    | Specific/solinas64_2e192m2e64m1/fesquare                
0m19.66s    | Specific/solinas64_2e251m9/Synthesis                    
0m19.51s    | Specific/solinas32_2e166m5/Synthesis                    
0m19.19s    | Specific/solinas64_2e322m2e161m1/fesquare               
0m19.17s    | Specific/solinas64_2e165m25/fesquare                    
0m19.08s    | Specific/solinas64_2e384m2e128m2e96p2e32m1/Synthesis    
0m19.08s    | Specific/montgomery64_2e256m2e32m977/feopp              
0m19.00s    | Specific/solinas64_2e137m13/fesquare                    
0m19.00s    | Specific/solinas64_2e401m31/Synthesis                   
0m18.99s    | Specific/solinas32_2e230m27/Synthesis                   
0m18.97s    | Specific/solinas64_2e129m25/fesquare                    
0m18.86s    | Specific/solinas64_2e130m5/fesquare                     
0m18.84s    | Specific/montgomery32_2e224m2e96p1/fenz                 
0m18.79s    | Specific/montgomery64_2e256m189/feopp                   
0m18.77s    | Specific/solinas64_2e158m15/fesquare                    
0m18.71s    | Specific/solinas64_2e152m17/fesquare                    
0m18.68s    | Specific/solinas32_2e235m15/Synthesis                   
0m18.66s    | Specific/solinas32_2e205m45x2e198m1/Synthesis           
0m18.64s    | Specific/NISTP256/AMD64/feopp                           
0m18.64s    | Specific/solinas64_2e174m17/fesquare                    
0m18.61s    | Specific/solinas64_2e141m9/fesquare                     
0m18.57s    | Specific/montgomery64_2e256m2e224p2e192p2e96m1/feopp    
0m18.57s    | Specific/solinas64_2e174m3/fesquare                     
0m18.54s    | Specific/solinas64_2e166m5/fesquare                     
0m18.53s    | Specific/solinas64_2e150m3/fesquare                     
0m18.51s    | Specific/solinas64_2e158m15/freeze                      
0m18.48s    | Specific/solinas32_2e222m117/Synthesis                  
0m18.47s    | Specific/solinas64_2e140m27/fesquare                    
0m18.29s    | Specific/solinas64_2e150m5/fesquare                     
0m18.28s    | Specific/solinas64_2e140m27/freeze                      
0m18.23s    | Specific/X2448/Karatsuba/C64/Synthesis                  
0m18.22s    | Specific/solinas64_2e166m5/freeze                       
0m18.14s    | Specific/solinas64_2e174m17/freeze                      
0m18.14s    | Specific/solinas32_2e212m29/Synthesis                   
0m18.08s    | Specific/solinas64_2e165m25/freeze                      
0m18.07s    | Specific/montgomery64_2e192m2e64m1/fesub                
0m18.02s    | Specific/solinas64_2e137m13/freeze                      
0m18.01s    | Specific/montgomery64_2e192m2e64m1/feadd                
0m17.99s    | Specific/solinas64_2e384m317/Synthesis                  
0m17.86s    | Specific/solinas64_2e130m5/freeze                       
0m17.83s    | Specific/solinas32_2e221m3/Synthesis                    
0m17.79s    | Specific/solinas64_2e141m9/freeze                       
0m17.72s    | Specific/solinas64_2e174m3/freeze                       
0m17.67s    | Specific/solinas64_2e150m3/freeze                       
0m17.64s    | Specific/solinas64_2e369m25/Synthesis                   
0m17.62s    | Specific/solinas64_2e192m2e64m1/freeze                  
0m17.61s    | Specific/solinas64_2e152m17/freeze                      
0m17.60s    | Specific/solinas64_2e150m5/freeze                       
0m17.53s    | Specific/solinas64_2e129m25/freeze                      
0m17.36s    | Specific/solinas64_2e448m2e224m1/Synthesis              
0m17.21s    | Specific/NISTP256/AMD128/fesub                          
0m16.87s    | Specific/NISTP256/AMD128/feadd                          
0m16.56s    | Specific/solinas32_2e255m2e4m2e1m1/Synthesis            
0m16.55s    | Specific/solinas32_2e192m2e64m1/femul                   
0m16.39s    | Specific/montgomery32_2e192m2e64m1/fenz                 
0m16.16s    | Specific/solinas32_2e191m19/Synthesis                   
0m16.15s    | Specific/solinas64_2e338m15/Synthesis                   
0m16.04s    | Specific/montgomery64_2e256m2e32m977/fenz               
0m15.97s    | Specific/montgomery64_2e256m189/fenz                    
0m15.94s    | Specific/solinas64_2e127m1/femul                        
0m15.93s    | Specific/montgomery64_2e256m2e224p2e192p2e96m1/fenz     
0m15.86s    | Specific/solinas64_2e416m2e208m1/Synthesis              
0m15.74s    | Specific/NISTP256/AMD64/fenz                            
0m15.29s    | Specific/solinas32_2e224m2e96p1/femul                   
0m15.28s    | Specific/solinas64_2e127m1/freeze                       
0m15.18s    | Specific/NISTP256/AMD128/fenz                           
0m14.88s    | Specific/solinas64_2e321m9/Synthesis                    
0m14.83s    | Specific/solinas32_2e226m5/Synthesis                    
0m14.80s    | Specific/solinas32_2e150m5/Synthesis                    
0m14.77s    | Specific/montgomery64_2e192m2e64m1/feopp                
0m14.56s    | Specific/solinas64_2e127m1/fesquare                     
0m14.49s    | Specific/solinas32_2e192m2e64m1/fesquare                
0m14.16s    | Specific/solinas32_2e224m2e96p1/fesquare                
0m13.81s    | Specific/NISTP256/AMD128/feopp                          
0m13.77s    | Specific/solinas32_2e190m11/Synthesis                   
0m13.57s    | Specific/solinas32_2e198m17/Synthesis                   
0m13.48s    | Specific/montgomery64_2e192m2e64m1/fenz                 
0m13.22s    | Specific/solinas32_2e174m17/Synthesis                   
0m13.19s    | Specific/solinas32_2e174m3/Synthesis                    
0m13.02s    | Specific/solinas64_2e256m2e32m977/Synthesis             
0m13.01s    | Specific/solinas32_2e171m19/Synthesis                   
0m12.96s    | Specific/solinas32_2e189m25/Synthesis                   
0m12.89s    | Specific/solinas32_2e165m25/Synthesis                   
0m12.72s    | Specific/solinas64_2e256m189/Synthesis                  
0m12.18s    | Specific/solinas64_2e336m3/Synthesis                    
0m12.13s    | Specific/montgomery32_2e192m2e64m1/Synthesis            
0m11.86s    | Specific/solinas64_2e336m17/Synthesis                   
0m11.74s    | Specific/solinas32_2e224m2e96p1/Synthesis               
0m11.18s    | Specific/solinas64_2e216m2e108m1/femul                  
0m11.16s    | Specific/solinas32_2e196m15/Synthesis                   
0m10.80s    | Specific/solinas64_2e322m2e161m1/Synthesis              
0m10.42s    | Specific/solinas32_2e216m2e108m1/Synthesis              
0m10.18s    | Specific/solinas32_2e192m2e64m1/Synthesis               
0m10.17s    | Specific/solinas64_2e216m2e108m1/fesquare               
0m09.59s    | Specific/solinas32_2e152m17/Synthesis                   
0m09.35s    | Specific/solinas32_2e137m13/Synthesis                   
0m09.22s    | Specific/montgomery64_2e256m2e224p2e192p2e96m1/Synthesis
0m09.18s    | Specific/solinas32_2e130m5/Synthesis                    
0m09.06s    | Specific/solinas64_2e224m2e96p1/femul                   
0m09.04s    | Specific/solinas64_2e256m2e224p2e192p2e96m1/femul       
0m08.98s    | Specific/montgomery64_2e256m2e32m977/Synthesis          
0m08.86s    | Specific/NISTP256/AMD64/Synthesis                       
0m08.69s    | Specific/montgomery64_2e256m189/Synthesis               
0m08.52s    | Specific/solinas64_2e291m19/Synthesis                   
0m08.38s    | Specific/solinas64_2e256m2e224p2e192p2e96m1/fesquare    
0m08.22s    | Specific/solinas64_2e285m9/Synthesis                    
0m08.12s    | Specific/solinas64_2e224m2e96p1/fesquare                
0m07.50s    | Specific/solinas64_2e243m9/Synthesis                    
0m07.44s    | Specific/solinas64_2e255m765/Synthesis                  
0m07.41s    | Specific/solinas64_2e255m19/Synthesis                   
0m07.41s    | Specific/solinas64_2e205m45x2e198m1/femul               
0m07.41s    | Specific/solinas32_2e141m9/Synthesis                    
0m07.39s    | Specific/solinas32_2e140m27/Synthesis                   
